,Unnamed: 0,name,light_years_from_earth,planet_mass,stellar_magnitude,discovery_date,planet_type,planet_radius,orbital_radius,orbital_period,eccentricity,solar_system_name,planet_discovery_method,planet_orbital_inclination,planet_density,host_mass
690,690,HD 212771 b,364.0,2.39 Jupiters,7.6,2009,Gas Giant,1.18 x Jupiter,1.19 AU,380.7 days,0.08,HD 212771,Radial Velocity,,,1.56
691,691,HD 213240 b,133.0,5.58 Jupiters,6.814,2001,Gas Giant,1.14 x Jupiter,1.89 AU,2.4 years,0.42,HD 213240,Radial Velocity,,,1.57
692,692,HD 213885 b,156.0,8.83 Earths,7.996,2019,Super Earth,1.745 x Earth,0.02012 AU,1 days,0.0,HD 213885,Transit,80.09,9.15,1.07
693,693,HD 213885 c,156.0,19.95 Earths,7.996,2019,Neptune-like,0.42 x Jupiter,0.056798 AU,4.8 days,0.0,HD 213885,Radial Velocity,,,1.07
694,694,HD 21411 b,95.0,0.20734 Jupiters,7.885,2019,Gas Giant,0.85 x Jupiter,0.362 AU,84.3 days,0.4,HD 21411,Radial Velocity,,,0.89
695,695,HD 214823 b,332.0,20.3 Jupiters,8.06,2016,Gas Giant,1.08 x Jupiter,3.23 AU,5.1 years,0.16,HD 214823,Radial Velocity,,,1.31
696,696,HD 215152 b,70.0,1.819 Earths,8.11,2018,Super Earth,1.19 x Earth,0.057638 AU,5.8 days,0.0,HD 215152,Radial Velocity,,,0.77
697,697,HD 215152 c,70.0,1.72 Earths,8.11,2018,Super Earth,1.17 x Earth,0.067393 AU,7.3 days,0.0,HD 215152,Radial Velocity,,,0.77
698,698,HD 215152 d,70.0,2.801 Earths,8.11,2018,Super Earth,1.48 x Earth,0.08799 AU,10.9 days,0.0,HD 215152,Radial Velocity,,,0.77
699,699,HD 215152 e,70.0,2.877 Earths,8.11,2018,Super Earth,1.51 x Earth,0.15417 AU,25.2 days,0.0,HD 215152,Radial Velocity,,,0.77
700,700,HD 215497 b,132.0,6.3566 Earths,8.96,2009,Neptune-like,0.214 x Jupiter,0.05 AU,3.9 days,0.16,HD 215497,Radial Velocity,,,0.67
701,701,HD 215497 c,132.0,0.33 Jupiters,8.96,2009,Gas Giant,1.11 x Jupiter,1.282 AU,1.6 years,0.49,HD 215497,Radial Velocity,,,0.67
702,702,HD 216435 b,108.0,1.26 Jupiters,6.03,2002,Gas Giant,1.22 x Jupiter,2.56 AU,3.6 years,0.07,HD 216435,Radial Velocity,,,1.3
703,703,HD 216437 b,87.0,2.223 Jupiters,6.057,2002,Gas Giant,1.19 x Jupiter,2.497 AU,3.7 years,0.32,HD 216437,Radial Velocity,,,1.17
704,704,HD 216536 b,1241.0,1.05 Jupiters,9.23,2015,Gas Giant,1.23 x Jupiter,0.61 AU,148.6 days,0.38,HD 216536,Radial Velocity,,,0.81
705,705,HD 216770 b,120.0,0.57 Jupiters,8.094,2003,Gas Giant,1.26 x Jupiter,0.46 AU,118.5 days,0.37,HD 216770,Radial Velocity,,,0.74
706,706,HD 21693 b,106.0,8.23 Earths,7.95,2019,Neptune-like,0.25 x Jupiter,0.1455 AU,22.7 days,0.12,HD 21693,Radial Velocity,,,0.8
707,707,HD 21693 c,106.0,17.37 Earths,7.95,2019,Neptune-like,0.387 x Jupiter,0.2586 AU,53.7 days,0.07,HD 21693,Radial Velocity,,,0.8
708,708,HD 217107 b,65.0,1.3 Jupiters,6.16,1998,Gas Giant,1.22 x Jupiter,0.08 AU,7.1 days,0.13,HD 217107,Radial Velocity,,,1.0
709,709,HD 217107 c,65.0,2.6 Jupiters,6.16,2005,Gas Giant,1.18 x Jupiter,5.32 AU,11.7 years,0.52,HD 217107,Radial Velocity,,,1.0
710,710,HD 21749 c,53.0,3.7 Earths,7.87,2019,Super Earth,0.892 x Earth,0.0695 AU,7.8 days,0.0,GJ 143,Transit,88.9,31.93,0.73
711,711,HD 217786 b,179.0,13 Jupiters,7.8,2011,Gas Giant,1.1 x Jupiter,2.38 AU,3.6 years,0.4,HD 217786,Radial Velocity,,,1.02
712,712,HD 217850 b,215.0,21.6 Jupiters,8.52,2018,Gas Giant,1.08 x Jupiter,4.56 AU,9.6 years,0.76,HD 217850,Radial Velocity,,,1.03
713,713,HD 218566 b,94.0,0.2 Jupiters,8.628,2010,Gas Giant,0.832 x Jupiter,0.69 AU,225.7 days,0.3,HD 218566,Radial Velocity,,,0.76
714,714,HD 219077 b,95.0,10.39 Jupiters,6.12,2012,Gas Giant,1.11 x Jupiter,6.22 AU,15.1 years,0.77,HD 219077,Radial Velocity,,,1.05
715,715,HD 219134 b,21.0,4.74 Earths,5.57,2015,Super Earth,1.602 x Earth,0.03876 AU,3.1 days,0.0,HD 219134,Radial Velocity,85.05,6.34,0.81
716,716,HD 219134 c,21.0,4.36 Earths,5.57,2015,Super Earth,1.511 x Earth,0.0653 AU,6.8 days,0.06,HD 219134,Radial Velocity,87.28,6.95,0.81
717,717,HD 219134 d,21.0,16.17 Earths,5.57,2015,Super Earth,1.61 x Earth,0.237 AU,46.9 days,0.14,HD 219134,Radial Velocity,,,0.81
718,718,HD 219134 f,21.0,7.3 Earths,5.57,2015,Super Earth,1.31 x Earth,0.1463 AU,22.7 days,0.15,HD 219134,Radial Velocity,,,0.81
719,719,HD 219134 g,21.0,10.80622 Earths,5.57,2015,Neptune-like,0.293 x Jupiter,0.3753 AU,94.2 days,0.0,HD 219134,Radial Velocity,,,0.81
